,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DROPOUT_P1,param_DROPOUT_P2,param_batch_size,param_decay,param_lr,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0,5.924971103668213,4.363122940063477,0.32215583324432373,0.05688893795013428,0.1,0.2,128,1e-06,0.02,"{'DROPOUT_P1': 0.1, 'DROPOUT_P2': 0.2, 'batch_size': 128, 'decay': 1e-06, 'lr': 0.02}",-31.248022108106642,-2.240738941661133,-16.744380524883887,14.503641583222754,19,-31.27630939426365,-2.2401213873906958,-16.75821539082717,14.518094003436477
1,1.3508986234664917,0.10125315189361572,0.2927058935165405,0.006497740745544434,0.1163265306122449,0.2,128,1e-06,0.02,"{'DROPOUT_P1': 0.1163265306122449, 'DROPOUT_P2': 0.2, 'batch_size': 128, 'decay': 1e-06, 'lr': 0.02}",-32.082497049738336,-28.145849726221584,-30.11417338797996,1.968323661758376,37,-32.04006612050283,-28.075131510829067,-30.057598815665948,1.9824673048368808
2,1.3793104887008667,3.3020973205566406e-05,0.33167290687561035,0.005510568618774414,0.1326530612244898,0.2,128,1e-06,0.02,"{'DROPOUT_P1': 0.1326530612244898, 'DROPOUT_P2': 0.2, 'batch_size': 128, 'decay': 1e-06, 'lr': 0.02}",-2.2422630583006535,-31.941060618953305,-17.09166183862698,14.849398780326325,21,-2.2426719777967445,-31.95048971433897,-17.09658084606786,14.853908868271112
3,1.4850184917449951,0.009962797164916992,0.36861586570739746,0.010556936264038086,0.1489795918367347,0.2,128,1e-06,0.02,"{'DROPOUT_P1': 0.1489795918367347, 'DROPOUT_P2': 0.2, 'batch_size': 128, 'decay': 1e-06, 'lr': 0.02}",-2.2512268994045233,-31.05472565270043,-16.652976276052478,14.401749376647954,17,-2.2504762283869852,-31.026438366543424,-16.638457297465205,14.38798106907822
4,1.615607738494873,0.07273483276367188,0.4894862174987793,0.09052777290344238,0.1653061224489796,0.2,128,1e-06,0.02,"{'DROPOUT_P1': 0.1653061224489796, 'DROPOUT_P2': 0.2, 'batch_size': 128, 'decay': 1e-06, 'lr': 0.02}",-29.517783104836404,-28.145849726221584,-28.831816415528994,0.6859666893074099,32,-29.357488483280033,-28.075131510829067,-28.71630999705455,0.641178486225483
5,1.9343550205230713,0.18781018257141113,0.4735795259475708,0.01601850986480713,0.1816326530612245,0.2,128,1e-06,0.02,"{'DROPOUT_P1': 0.1816326530612245, 'DROPOUT_P2': 0.2, 'batch_size': 128, 'decay': 1e-06, 'lr': 0.02}",-31.248022108106642,-28.145849726221584,-29.69693591716411,1.551086190942529,35,-31.27630939426365,-28.075131510829067,-29.675720452546358,1.600588941717291
6,1.9060659408569336,0.0830235481262207,0.5870999097824097,0.06974565982818604,0.1979591836734694,0.2,128,1e-06,0.02,"{'DROPOUT_P1': 0.1979591836734694, 'DROPOUT_P2': 0.2, 'batch_size': 128, 'decay': 1e-06, 'lr': 0.02}",-28.075131510829067,-28.145849726221584,-28.110490618525326,0.03535910769625872,24,-28.145849726221584,-28.075131510829067,-28.110490618525326,0.03535910769625872
7,1.898520827293396,0.03249967098236084,0.5618003606796265,0.012635350227355957,0.2142857142857143,0.2,128,1e-06,0.02,"{'DROPOUT_P1': 0.2142857142857143, 'DROPOUT_P2': 0.2, 'batch_size': 128, 'decay': 1e-06, 'lr': 0.02}",-28.075131510829067,-2.2395373928296314,-15.15733445182935,12.917797058999717,3,-28.145849726221584,-2.239183197671066,-15.192516461946326,12.953333264275258
8,2.083707571029663,0.022098302841186523,0.6046174764633179,0.010865569114685059,0.2306122448979592,0.2,128,1e-06,0.02,"{'DROPOUT_P1': 0.2306122448979592, 'DROPOUT_P2': 0.2, 'batch_size': 128, 'decay': 1e-06, 'lr': 0.02}",-30.56441269264565,-2.2405271961524322,-16.40246994439904,14.16194274824661,10,-30.644560003423834,-2.24056006193877,-16.442560032681303,14.201999970742532
9,2.108996272087097,0.029991745948791504,0.6619279384613037,0.018968582153320312,0.2469387755102041,0.2,128,1e-06,0.02,"{'DROPOUT_P1': 0.2469387755102041, 'DROPOUT_P2': 0.2, 'batch_size': 128, 'decay': 1e-06, 'lr': 0.02}",-29.517783104836404,-2.2410057317257057,-15.879394418281056,13.638388686555349,8,-29.357488483280033,-2.2400900332809894,-15.798789258280511,13.558699224999522
10,2.34676194190979,0.06486988067626953,0.6976066827774048,0.0094376802444458,0.263265306122449,0.2,128,1e-06,0.02,"{'DROPOUT_P1': 0.263265306122449, 'DROPOUT_P2': 0.2, 'batch_size': 128, 'decay': 1e-06, 'lr': 0.02}",-31.95048971433897,-2.2416921996806707,-17.09609095700982,14.85439875732915,22,-31.941060618953305,-2.240630363851761,-17.090845491402533,14.850215127550772
11,2.33761203289032,0.007394671440124512,0.7468974590301514,0.014997005462646484,0.2795918367346939,0.2,128,1e-06,0.02,"{'DROPOUT_P1': 0.2795918367346939, 'DROPOUT_P2': 0.2, 'batch_size': 128, 'decay': 1e-06, 'lr': 0.02}",-2.2398990421161082,-30.644560003423834,-16.44222952276997,14.202330480653863,13,-2.239724683803904,-30.56441269264565,-16.402068688224777,14.162344004420873
