,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DROPOUT_P1,param_DROPOUT_P2,param_batch_size,param_decay,param_lr,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0,2.5471495389938354,1.2974833250045776,0.26181817054748535,0.013482809066772461,0.2,0.2,128,1e-06,3.213205906864567e-06,"{'DROPOUT_P1': 0.2, 'DROPOUT_P2': 0.2, 'batch_size': 128, 'decay': 1e-06, 'lr': 3.213205906864567e-06}",-29.30830682486289,-24.882764703964863,-27.095535764413874,2.212771060449013,40,-29.326802506735618,-25.082475896965015,-27.204639201850316,2.1221633048853015
1,1.3070080280303955,0.041387081146240234,0.2982058525085449,0.015954017639160156,0.2,0.2,128,1e-06,3.95021917195133e-06,"{'DROPOUT_P1': 0.2, 'DROPOUT_P2': 0.2, 'batch_size': 128, 'decay': 1e-06, 'lr': 3.95021917195133e-06}",-13.250848106091741,-24.898287192270164,-19.074567649180953,5.8237195430892115,36,-13.384004089388014,-25.038485414818044,-19.211244752103028,5.827240662715015
2,1.4152802228927612,0.024995923042297363,0.343593955039978,0.016436457633972168,0.2,0.2,128,1e-06,4.85628122154126e-06,"{'DROPOUT_P1': 0.2, 'DROPOUT_P2': 0.2, 'batch_size': 128, 'decay': 1e-06, 'lr': 4.85628122154126e-06}",-12.461613137300898,-4.003558426345181,-8.23258578182304,4.229027355477858,16,-12.257434291443714,-3.9856931630243864,-8.12156372723405,4.135870564209664
3,1.5099766254425049,0.020929336547851562,0.37897205352783203,0.010955572128295898,0.2,0.2,128,1e-06,5.970166787237922e-06,"{'DROPOUT_P1': 0.2, 'DROPOUT_P2': 0.2, 'batch_size': 128, 'decay': 1e-06, 'lr': 5.970166787237922e-06}",-31.04133039138693,-32.13100344969818,-31.586166920542553,0.5448365291556243,49,-31.094962564193974,-32.19639658166384,-31.645679572928906,0.5507170087349333
4,1.5992497205734253,0.06831967830657959,0.4373258352279663,0.018470168113708496,0.2,0.2,128,1e-06,7.339544363562735e-06,"{'DROPOUT_P1': 0.2, 'DROPOUT_P2': 0.2, 'batch_size': 128, 'decay': 1e-06, 'lr': 7.339544363562735e-06}",-18.596793568375706,-17.454470252695423,-18.025631910535562,0.5711616578401415,35,-18.47017573862486,-17.35969000895368,-17.91493287378927,0.5552428648355896
5,1.6565828323364258,0.025918006896972656,0.4632701873779297,0.012458086013793945,0.2,0.2,128,1e-06,9.02301617098168e-06,"{'DROPOUT_P1': 0.2, 'DROPOUT_P2': 0.2, 'batch_size': 128, 'decay': 1e-06, 'lr': 9.02301617098168e-06}",-22.675298023389654,-2.554851640952693,-12.615074832171175,10.06022319121848,21,-22.722515990148747,-2.5428951312717913,-12.632705560710269,10.089810429438478
6,1.7812410593032837,0.0269242525100708,0.5011605024337769,0.010472893714904785,0.2,0.2,128,1e-06,1.109262602539496e-05,"{'DROPOUT_P1': 0.2, 'DROPOUT_P2': 0.2, 'batch_size': 128, 'decay': 1e-06, 'lr': 1.109262602539496e-05}",-25.34373144365722,-5.688125601632453,-15.515928522644835,9.827802921012383,32,-25.23537252674242,-5.640925629648057,-15.438149078195238,9.79722344854718
7,1.8789883852005005,0.028910517692565918,0.5470250844955444,0.013476967811584473,0.2,0.2,128,1e-06,1.3636942437828135e-05,"{'DROPOUT_P1': 0.2, 'DROPOUT_P2': 0.2, 'batch_size': 128, 'decay': 1e-06, 'lr': 1.3636942437828135e-05}",-4.168322392469922,-23.072846880058474,-13.620584636264198,9.452262243794276,24,-4.182557925671046,-23.30892561482348,-13.745741770247262,9.563183844576216
8,2.0839946269989014,0.01848292350769043,0.6302957534790039,0.01796746253967285,0.2,0.2,128,1e-06,1.676484888491649e-05,"{'DROPOUT_P1': 0.2, 'DROPOUT_P2': 0.2, 'batch_size': 128, 'decay': 1e-06, 'lr': 1.676484888491649e-05}",-21.914826223811705,-23.808806997171946,-22.86181661049182,0.9469903866801204,38,-21.765750569764492,-23.800368947003456,-22.783059758383974,1.0173091886194818
9,2.0749852657318115,0.021443843841552734,0.645240306854248,0.005982875823974609,0.2,0.2,128,1e-06,2.0610203453997103e-05,"{'DROPOUT_P1': 0.2, 'DROPOUT_P2': 0.2, 'batch_size': 128, 'decay': 1e-06, 'lr': 2.0610203453997103e-05}",-28.228988321997974,-27.77444640486599,-28.001717363431982,0.22727095856599178,41,-28.086770741011744,-27.740941266971603,-27.913856003991675,0.17291473702007032
10,2.223091244697571,0.055849671363830566,0.6841694116592407,0.003991484642028809,0.2,0.2,128,1e-06,2.5337567271324087e-05,"{'DROPOUT_P1': 0.2, 'DROPOUT_P2': 0.2, 'batch_size': 128, 'decay': 1e-06, 'lr': 2.5337567271324087e-05}",-23.379121823682862,-24.60869684692079,-23.993909335301826,0.6147875116189638,39,-23.475754902389564,-24.634371331817356,-24.055063117103458,0.5793082147138957
11,2.2510045766830444,0.02087986469268799,0.7176181077957153,0.009469389915466309,0.2,0.2,128,1e-06,3.114924686026652e-05,"{'DROPOUT_P1': 0.2, 'DROPOUT_P2': 0.2, 'batch_size': 128, 'decay': 1e-06, 'lr': 3.114924686026652e-05}",-5.927296801672312,-10.352882908607516,-8.140089855139914,2.212793053467602,15,-5.968003648066184,-10.344952834497292,-8.156478241281738,2.188474593215554
